Time Regular Version ;Time Optimized Version ;Count of Items (N) ;Count of Boxes (S) ;Size of Boxes (V) ;;Answer Regular Version ;Answer Optimized Version ;Used Boxes Regular Version ;Used Boxes Optimized Version ;;
4.319;0.079;10000;500;50;;804;804;500;500;;
4.169;3.171;11000;500;50;;747;747;500;500;;
4.678;2.968;12000;500;50;;742;742;500;500;;
4.832;3.967;13000;500;50;;751;751;500;500;;
6.104;4.276;14000;500;50;;736;736;500;500;;
6.408;4.426;15000;500;50;;727;727;500;500;;
6.935;1.091;16000;500;50;;669;669;500;500;;
7.08;5.175;17000;500;50;;684;684;500;500;;
7.267;6.621;18000;500;50;;632;632;500;500;;
8.405;9.383;19000;500;50;;624;624;500;500;;
8.826;6.308;20000;500;50;;612;612;500;500;;
8.683;10.97;21000;500;50;;568;568;500;500;;
13.859;5.955;22000;500;50;;550;550;500;500;;
10.186;11.098;23000;500;50;;533;533;500;500;;
9.896;7.54;24000;500;50;;500;500;500;500;;
11.097;12.397;25000;500;50;;500;500;500;500;;
11.612;6.417;26000;500;50;;500;500;500;500;;
15.372;11.679;27000;500;50;;500;500;500;500;;
